план	noun	изображение или описание в общи, основни черти.	скица, чертеж на географски или архитектурен обект (населено място, планина и т.н. или сграда, помещение и др.).	broader
план	noun	изображение или описание в общи, основни черти.	местоположение на обектите на определена дълбочина на зрителното поле.	none
план	noun	изображение или описание в общи, основни черти.	начин, позиция на гледане върху някакъв обект или идея.	none
план	noun	подробен план, конкретна програма за извършване, осъществяване на нещо.	предварително намислен начин за провеждане на някаква дейност. намерения.	exact
план	noun	подробен план, конкретна програма за извършване, осъществяване на нещо.	скица, чертеж на географски или архитектурен обект (населено място, планина и т.н. или сграда, помещение и др.).	none
план	noun	подробен план, конкретна програма за извършване, осъществяване на нещо.	местоположение на обектите на определена дълбочина на зрителното поле.	none
план	noun	подробен план, конкретна програма за извършване, осъществяване на нещо.	начин, позиция на гледане върху някакъв обект или идея.	none
път	noun	действия, средства да се постигне или осъществи нещо.	Път е траекторията, която тялото описва при своето движение или разстоянието от едно място до друго.	none
път	noun	пътуване, ходене.	Път е траекторията, която тялото описва при своето движение или разстоянието от едно място до друго.	none
път	noun	последователността от събития, които съпътстват съществуването на човек; реалността, съществуваща обективно, вън и независимо от съзнанието на човека	Път е траекторията, която тялото описва при своето движение или разстоянието от едно място до друго.	none
път	noun	всяка земна площ или съоръжение с предназначение за движение на пътни превозни средства или пешеходци, която свързва населени места.	Път е траекторията, която тялото описва при своето движение или разстоянието от едно място до друго.	none
път	noun	в човешки и животински организъм - тръбопроводен проход, през който минава някакво вещество, течност.	Път е траекторията, която тялото описва при своето движение или разстоянието от едно място до друго.	none
път	noun	място, линия, маршрут, по който нещо се движи.	Път е траекторията, която тялото описва при своето движение или разстоянието от едно място до друго.	none
заседание	noun	съвместно обсъждане от мнозина, заседание на колективен ръководен, съвещателен или контролен орган.	Събиране на колектив или на определени негови членове, на което се обсъждат въпроси. Заседание на катедрата. Заседание на Академическия съвет.	none
дума	noun	основна единица на естествения човешки език, представляваща единство от няколко звука с определено значение, служеща за наименование на предмети, лица, процеси, свойства и др.	звукосъчетание чрез което се означава предмет или действие.	exact
дума	noun	основна единица на естествения човешки език, представляваща единство от няколко звука с определено значение, служеща за наименование на предмети, лица, процеси, свойства и др.	народното събрание на руската федерация.	none
дума	noun	нещо казано, изречено.	звукосъчетание чрез което се означава предмет или действие.	related
дума	noun	нещо казано, изречено.	народното събрание на руската федерация.	none
дума	noun	(обикн. мн.ч.) думи.	звукосъчетание чрез което се означава предмет или действие.	related
дума	noun	(обикн. мн.ч.) думи.	народното събрание на руската федерация.	none
колега	noun	лице, което има една и съща професия или служба с друго лице.	Лице, което има същата професия, длъжност или следва същата специалност по отношение на друго лице.	none
конкретен	adjective	който съществува в действителността и може да се възприема със сетивата, а не е абстрактен, въображаем.	точен, детайлен, точно определен (а не общо).	none
конкретен	adjective	който съществува в действителността и може да се възприема със сетивата, а не е абстрактен, въображаем.	предметен, действителен (а не абстрактен).	exact
конкретен	adjective	присъщ само на определен предмет или явление; своеобразен, особен.	точен, детайлен, точно определен (а не общо).	exact
конкретен	adjective	присъщ само на определен предмет или явление; своеобразен, особен.	предметен, действителен (а не абстрактен).	none
идея	noun	начин на разбиране, виждане, преценка за даден предмет, обект, явление от действителността.	Замисъл, намерение; мисловен  образ на част от  обкръжаващия свят.	none
идея	noun	замисъл, намерение.	Замисъл, намерение; мисловен  образ на част от  обкръжаващия свят.	none
врата	noun	приспособление, което служи за отваряне и затваряне на отвор в стена или ограда, през който се влиза и излиза.	правоъгълен отвор в стена, вход за влизане в сграда, двор и за излизане.	related
врата	noun	приспособление, което служи за отваряне и затваряне на отвор в стена или ограда, през който се влиза и излиза.	предмет със същата форма, приспособление, който служи за отваряне и затваряне на този отвор.	exact
врата	noun	приспособление, което служи за отваряне и затваряне на отвор в стена или ограда, през който се влиза и излиза.	правоъгълна рамка, обикновено с мрежа, през която в някои спортове (футбол, хокей, хандбал, водна топка и др.) играчите се стремят да прекарат топка или шайба с цел да отбележат точки.	related
врата	noun	самият отвор в стена, ограда.	правоъгълен отвор в стена, вход за влизане в сграда, двор и за излизане.	exact
врата	noun	самият отвор в стена, ограда.	предмет със същата форма, приспособление, който служи за отваряне и затваряне на този отвор.	related
врата	noun	самият отвор в стена, ограда.	правоъгълна рамка, обикновено с мрежа, през която в някои спортове (футбол, хокей, хандбал, водна топка и др.) играчите се стремят да прекарат топка или шайба с цел да отбележат точки.	none
врата	noun	точно означена, обикновено във вид на правоъгълна рамка част от игрището, където противниковият отбор се стреми да вкара топката или шайбата при игра на футбол, хокей и др.	правоъгълен отвор в стена, вход за влизане в сграда, двор и за излизане.	none
врата	noun	точно означена, обикновено във вид на правоъгълна рамка част от игрището, където противниковият отбор се стреми да вкара топката или шайбата при игра на футбол, хокей и др.	предмет със същата форма, приспособление, който служи за отваряне и затваряне на този отвор.	related
врата	noun	точно означена, обикновено във вид на правоъгълна рамка част от игрището, където противниковият отбор се стреми да вкара топката или шайбата при игра на футбол, хокей и др.	правоъгълна рамка, обикновено с мрежа, през която в някои спортове (футбол, хокей, хандбал, водна топка и др.) играчите се стремят да прекарат топка или шайба с цел да отбележат точки.	exact
хубав	adjective	който с външния си вид доставя естетическа наслада на сетивата, който предизвиква възхищение.	красив на външен вид.	exact
хубав	adjective	който с външния си вид доставя естетическа наслада на сетивата, който предизвиква възхищение.	който има много положителни качества.	none
хубав	adjective	който с външния си вид доставя естетическа наслада на сетивата, който предизвиква възхищение.	нравствено добър.	none
хубав	adjective	който с външния си вид доставя естетическа наслада на сетивата, който предизвиква възхищение.	с добър вкус, вкусен.	none
хубав	adjective	за период от време - който е изпълнен с радостни, приятни преживявания.	красив на външен вид.	none
хубав	adjective	за период от време - който е изпълнен с радостни, приятни преживявания.	който има много положителни качества.	none
хубав	adjective	за период от време - който е изпълнен с радостни, приятни преживявания.	нравствено добър.	none
хубав	adjective	за период от време - който е изпълнен с радостни, приятни преживявания.	с добър вкус, вкусен.	none
хубав	adjective	който се харесва, доставя удоволствие, предизвиква радостно усещане.	красив на външен вид.	none
хубав	adjective	който се харесва, доставя удоволствие, предизвиква радостно усещане.	който има много положителни качества.	none
хубав	adjective	който се харесва, доставя удоволствие, предизвиква радостно усещане.	нравствено добър.	none
хубав	adjective	който се харесва, доставя удоволствие, предизвиква радостно усещане.	с добър вкус, вкусен.	none
хубав	adjective	който има всички желани и потребни качества.	красив на външен вид.	none
хубав	adjective	който има всички желани и потребни качества.	който има много положителни качества.	narrower
хубав	adjective	който има всички желани и потребни качества.	нравствено добър.	none
хубав	adjective	който има всички желани и потребни качества.	с добър вкус, вкусен.	none
хубав	adjective	който се отличава с много ценните си качества.	красив на външен вид.	none
хубав	adjective	който се отличава с много ценните си качества.	който има много положителни качества.	exact
хубав	adjective	който се отличава с много ценните си качества.	нравствено добър.	none
хубав	adjective	който се отличава с много ценните си качества.	с добър вкус, вкусен.	none
кон	noun	едро нечифтокопитно домашно животно, което се язди и впряга, а в някои страни се отглежда за мляко и месо.	едър бозайник, (equus caballus), нечефтокопитен, спадащ към клас коне. опитомен е от човека и се ползва за впряг и езда.	exact
кон	noun	едро нечифтокопитно домашно животно, което се язди и впряга, а в някои страни се отглежда за мляко и месо.	шахматна фигура, движеща се на шахматното поле под формата на буквата г.	related
кон	noun	в спорта — гимнастически уред с продълговата форма и четири крака.	едър бозайник, (equus caballus), нечефтокопитен, спадащ към клас коне. опитомен е от човека и се ползва за впряг и езда.	none
кон	noun	в спорта — гимнастически уред с продълговата форма и четири крака.	шахматна фигура, движеща се на шахматното поле под формата на буквата г.	none
мост	noun	съоръжение, конструкция, построено от дървен материал, камък, железобетон, желязо и др., по което се преминава над река или друг воден басейн, пропаст, шосе и др.	съоръжение за преминаване през река, пропаст, жп линия и др.	exact
мост	noun	съоръжение, конструкция, построено от дървен материал, камък, железобетон, желязо и др., по което се преминава над река или друг воден басейн, пропаст, шосе и др.	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	none
мост	noun	съоръжение, конструкция, построено от дървен материал, камък, железобетон, желязо и др., по което се преминава над река или друг воден басейн, пропаст, шосе и др.	в спорта – положение, при което тялото се извива назад и за опора се използват дланите на ръцете и стъпалата.	none
мост	noun	съоръжение, конструкция, построено от дървен материал, камък, железобетон, желязо и др., по което се преминава над река или друг воден басейн, пропаст, шосе и др.	част от автомобилно шаси, към която се прикрепват колелата.	none
мост	noun	съоръжение, конструкция, построено от дървен материал, камък, железобетон, желязо и др., по което се преминава над река или друг воден басейн, пропаст, шосе и др.	нещо, което служи за връзка, за контакт.	none
мост	noun	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	съоръжение за преминаване през река, пропаст, жп линия и др.	none
мост	noun	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	exact
мост	noun	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	в спорта – положение, при което тялото се извива назад и за опора се използват дланите на ръцете и стъпалата.	none
мост	noun	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	част от автомобилно шаси, към която се прикрепват колелата.	none
мост	noun	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	нещо, което служи за връзка, за контакт.	none
мост	noun	нещо, което служи за връзка, контакт.	съоръжение за преминаване през река, пропаст, жп линия и др.	none
мост	noun	нещо, което служи за връзка, контакт.	протеза, свързваща два зъба, на която са прикрепени изкуствени зъби.	none
мост	noun	нещо, което служи за връзка, контакт.	в спорта – положение, при което тялото се извива назад и за опора се използват дланите на ръцете и стъпалата.	none
мост	noun	нещо, което служи за връзка, контакт.	част от автомобилно шаси, към която се прикрепват колелата.	none
мост	noun	нещо, което служи за връзка, контакт.	нещо, което служи за връзка, за контакт.	exact
пожар	noun	силен стихиен огън, който обхваща нещо и го унищожава.	Силен огън, който унищожава сгради, гори и др.	none
пожар	noun	трудно изпитание.	Силен огън, който унищожава сгради, гори и др.	none
регрес	noun	възвръщане, преминаване от по-висша към по-нисша степен на развитие; упадък.	Преминаване от по-висока форма на развитие към по-ниска.	none
състрадание	noun	качество на разбиране на чуждото страдание и желание да се направи нещо, да се помогне.	Съчувствие, съпреживяване на чужди емоции.	none
състрадание	noun	съчувствие към страдащи, споделяне страданието на друг; отзивчивост, милост, жалост.	Съчувствие, съпреживяване на чужди емоции.	none
чистка	noun	отстраняване на неудобни, обикн. в политическо отношение, хора от редовете на партия или друга организация.	Отстраняване на неудобни лица от политическа групировка или друга организация .	none
алергия	noun	свръхчувствителна или болезнена реакция на организма към различни храни, вещества, лекарства и др.	болезнено състояние, предизвикано от организма поради свръхчуствителност към храни, вещества, медикаменти и др.	exact
алергия	noun	свръхчувствителна или болезнена реакция на организма към различни храни, вещества, лекарства и др.	непоносимост, неприязън към някого или нещо, отвращение.	none
аутопсия	noun	разрязвяне и изследване на труп с цел да се открият причините за смъртта.	Разрязване на тялото на починал човек или животно, с цел да се установи причината за неговата смърт.	none
богиня	noun	женско божество.	В древните митологии и в някои източни религии — божество с образ на жена.	none
видео	noun	видеомагнетофон.	Видеоматериал, записан на физически носител.	none
видео	noun	запис с аудио-визуално изображение.	Видеоматериал, записан на физически носител.	none
далеко	adverb	на далечно разстояние, на далечно място.	на голямо разстояние.	exact
далеко	adverb	на далечно разстояние, на далечно място.	преди или след много време.	none
далеко	adverb	на далечно разстояние, на далечно място.	за означаване на липса на чувства, разбиране или намерение за нещо.	none
далеко	adverb	на далечно разстояние, на далечно място.	много повече, в по-голяма степен.	none
далеко	adverb	след доста, много време; далече.	на голямо разстояние.	none
далеко	adverb	след доста, много време; далече.	преди или след много време.	narrower
далеко	adverb	след доста, много време; далече.	за означаване на липса на чувства, разбиране или намерение за нещо.	none
далеко	adverb	след доста, много време; далече.	много повече, в по-голяма степен.	none
дисидент	noun	инакомислещ човек, който изразява несъгласие с господстващата идеология, който се противопоставя на установената обществена система.	Дисидент е човек, който активно се противопоставя на общоприетото или налагано мислене, политика или устройство.	none
ефикасен	adjective	който дава (добър) резултат; успешен, сполучлив.	Задоволително ниво на отношението на постигнатия резултат спрямо желания резултат и вложените разходи (енергия, труд, финансови средства).	none
ефикасен	adjective	от който има по-добър ефект, последица, резултат.	Задоволително ниво на отношението на постигнатия резултат спрямо желания резултат и вложените разходи (енергия, труд, финансови средства).	none
ефикасен	adjective	който е ефективен, без много усилия, средства или губене на време.	Задоволително ниво на отношението на постигнатия резултат спрямо желания резултат и вложените разходи (енергия, труд, финансови средства).	none
ефикасен	adjective	който има благоприятен, сполучлив завършек, който приключва с успех.	Задоволително ниво на отношението на постигнатия резултат спрямо желания резултат и вложените разходи (енергия, труд, финансови средства).	none
изкълчване	noun	разместване на костите в става една спрямо друга.	Деформирането на строителен елемент в равнина перпендикулярна на равнината на натоварване под ваздействието на коаксиално натоварване довеждащо до компрометиране на носимоспособността на строителен елемент.	none
изкълчване	noun	явление в механиката, характерно за тънкостенните конструкционни елементи (греди, черупки), както и за стройните конструкционни елементи (греди, пръти, колони), подложени на натискови и/или усукващи напрежения, които възникват при натиск, огъване, усукване или комбинации от тези три вида съпротива. загуба на устойчивост.	Деформирането на строителен елемент в равнина перпендикулярна на равнината на натоварване под ваздействието на коаксиално натоварване довеждащо до компрометиране на носимоспособността на строителен елемент.	none
комин	noun	иззидан отвор в стените на сграда, през който излиза димът от печка, огнище и под. и който стига до покрива на жилището и се издига над него.	отвор от огнище, през който излиза димът.	broader
комин	noun	иззидан отвор в стените на сграда, през който излиза димът от печка, огнище и под. и който стига до покрива на жилището и се издига над него.	издадената над покрива част от този отвор.	broader
криминология	noun	наука, която изучава престъпността, причините и начините за борба с нея.	наука за престъпността като социално явление.	broader
криминология	noun	наука, която изучава престъпността, причините и начините за борба с нея.	наука за причините за криминалните прояви у индивида.	broader
кюп	noun	дълбок, обикновено цилиндричен стъклен съд с широко гърло, който се използва за съхраняване на компот, сладка и др., приготвени в домашни или промишлени условия.	Голям глинен съд.	none
магия	noun	ловка игра, боравене с разни предмети, което създава у зрителя впечатление за нещо необикновено, свръхестествено.	използването на ритуали , за които се смята,че ако са изпълнени правилно , принуждават(а не просто молят)свръхестествените сили.	none
магия	noun	ловка игра, боравене с разни предмети, което създава у зрителя впечатление за нещо необикновено, свръхестествено.	сбор от действия и заклинания, които целят да въздействат по свръхестествен начин върху хора, животни и природни явления.	none
магия	noun	ловка игра, боравене с разни предмети, което създава у зрителя впечатление за нещо необикновено, свръхестествено.	преносното значение на магията е очарование,обаяние , сила.	none
магия	noun	покоряващо влияние, въздействие на личност с изключителни физически или нравствени качества върху някого, над околните.	използването на ритуали , за които се смята,че ако са изпълнени правилно , принуждават(а не просто молят)свръхестествените сили.	none
магия	noun	покоряващо влияние, въздействие на личност с изключителни физически или нравствени качества върху някого, над околните.	сбор от действия и заклинания, които целят да въздействат по свръхестествен начин върху хора, животни и природни явления.	none
магия	noun	покоряващо влияние, въздействие на личност с изключителни физически или нравствени качества върху някого, над околните.	преносното значение на магията е очарование,обаяние , сила.	exact
магия	noun	употребата на ритуали, символи, действия, жестове и езика с цел използване на свръхестествени сили.	използването на ритуали , за които се смята,че ако са изпълнени правилно , принуждават(а не просто молят)свръхестествените сили.	exact
магия	noun	употребата на ритуали, символи, действия, жестове и езика с цел използване на свръхестествени сили.	сбор от действия и заклинания, които целят да въздействат по свръхестествен начин върху хора, животни и природни явления.	related
магия	noun	употребата на ритуали, символи, действия, жестове и езика с цел използване на свръхестествени сили.	преносното значение на магията е очарование,обаяние , сила.	none
нежност	noun	любезност, чувствителност, внимание.	чувство на обич, любов, привързаност към някого или нещо.	related
нежност	noun	любезност, чувствителност, внимание.	думи, жестове, постъпки и под. като израз на това чувство.	related
нежност	noun	любезност, чувствителност, внимание.	качество на нещо, което предизвиква естетическа наслада; изящество, изтънченост.	none
нежност	noun	чувство на обич и близост.	чувство на обич, любов, привързаност към някого или нещо.	exact
нежност	noun	чувство на обич и близост.	думи, жестове, постъпки и под. като израз на това чувство.	related
нежност	noun	чувство на обич и близост.	качество на нещо, което предизвиква естетическа наслада; изящество, изтънченост.	none
нежност	noun	нежни жестове.	чувство на обич, любов, привързаност към някого или нещо.	related
нежност	noun	нежни жестове.	думи, жестове, постъпки и под. като израз на това чувство.	exact
нежност	noun	нежни жестове.	качество на нещо, което предизвиква естетическа наслада; изящество, изтънченост.	none
нежност	noun	качество на нежен, изящен, изтънчен.	чувство на обич, любов, привързаност към някого или нещо.	none
нежност	noun	качество на нежен, изящен, изтънчен.	думи, жестове, постъпки и под. като израз на това чувство.	none
нежност	noun	качество на нежен, изящен, изтънчен.	качество на нещо, което предизвиква естетическа наслада; изящество, изтънченост.	exact
омаловажавам	verb	придавам по-малка важност, значимост на някого или нещо от заслужената, реалната му стойност, така че да изглежда незначителен.	Правя по-малко значим.	none
пеш	adverb	с крака, без използване на превозно средство; пеш, пеши, пешком.	край на връхна дреха.	none
пеш	adverb	с крака, без използване на превозно средство; пеш, пеши, пешком.	диря, следа.	none
пеш	adverb	долен край на дреха; пола.	край на връхна дреха.	exact
пеш	adverb	долен край на дреха; пола.	диря, следа.	none
проститутка	noun	жена, която продава тялото си, отдава се на различни мъже срещу заплащане.	Това е човек който прави секс с други хора срещу парично възнаграждение. Проституцията е известна още и като най-древната професия в света.	none
самоуверен	adjective	който самоуверено и енергично защитава позицията си, готов е да спори и да се бори докрай за нея.	Човек, изпълнен с увереност в себе си и в своите възможности и знания.	none
самоуверен	adjective	който е твърдо уверен в себе си, в своите сили и възможности.	Човек, изпълнен с увереност в себе си и в своите възможности и знания.	none
самоуверен	adjective	който има съзнание, изпълнен е с чувство за собствено достойнство и самоуважение или изпитва удовлетворение, задоволство от своите или на близките си достойнства, качества или постигнати успехи.	Човек, изпълнен с увереност в себе си и в своите възможности и знания.	none
солидарен	adjective	чиито членове се чувстват като едно, които имат еднакви, общи цели, интереси, разбирания, между които няма противоречия.	По равно.	none
твърдост	noun	качество или проява на постоянен (по характер, поведение); последователност, твърдост, настойчивост.	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
твърдост	noun	качество на решителен; смелост, безстрашие, непоколебимост, твърдост, категоричност.	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
твърдост	noun	упоритост, опърничавост, непокорство.	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
твърдост	noun	спокойно състояние, при което се запазва присъствие на духа, самообладание и ясна мисъл.	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
твърдост	noun	качество на твърд (който не се променя лесно при натиск; корав).	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
твърдост	noun	качеството да бъдеш физически или психически силен, устойчив.	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
твърдост	noun	устойчивост, постоянство, непреклонност.	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
твърдост	noun	здравина, устойчивост.	Свойството на материала да се съпротивлява срещу проникване в него на външни тела наричаме твърдост.	none
учредяване	noun	действие, при което нещо се появява за първи път, започва да съществува.	Основаване, съставяне на нещо.	none
учредяване	noun	основаване, учредяване, отваряне на организация, изложба, конкурс, паметник и др.	Основаване, съставяне на нещо.	none
хуманизъм	noun	човечност, справедливост, зачитане на човешкото достойнство; хуманност.	система от възгледи, които изразяват уважение и защитават човешкото достойнство и основните граждански свободи.	related
хуманизъм	noun	човечност, справедливост, зачитане на човешкото достойнство; хуманност.	човечност, човеколюбие.	exact
хуманизъм	noun	идеология, която поставя на първо място уважението към личността, към достойнството на човека.	система от възгледи, които изразяват уважение и защитават човешкото достойнство и основните граждански свободи.	exact
хуманизъм	noun	идеология, която поставя на първо място уважението към личността, към достойнството на човека.	човечност, човеколюбие.	related
абаджия	noun	шивач, който е изработвал връхни дрехи от аба.	търговец на готови горни дрехи (аби, потури и др.)	none
абаджия	noun	шивач, който е изработвал връхни дрехи от аба.	производител на аба.	none
абаджия	noun	търговец на дрехи от аба.	търговец на готови горни дрехи (аби, потури и др.)	exact
абаджия	noun	търговец на дрехи от аба.	производител на аба.	none
адет	noun	постоянен и устойчив начин на действие, мислене или изразяване, придобит и утвърден чрез многократно повторение.	обичай.	none
адет	noun	постоянен и устойчив начин на действие, мислене или изразяване, придобит и утвърден чрез многократно повторение.	характер, нрав.	exact
адет	noun	нещо, което в някаква среда, общество е установено, прието, нормативно.	обичай.	exact
адет	noun	нещо, което в някаква среда, общество е установено, прието, нормативно.	характер, нрав.	none
амброзия	noun	храната на древногръцките богове, която заедно с питието нектар давала вечна младост и безсмъртие.	в гръцката митология — храна на боговете, която ги правела вечно млади и красиви.	exact
амброзия	noun	храната на древногръцките богове, която заедно с питието нектар давала вечна младост и безсмъртие.	род едногодишни и многогодишни тревисти растения от семейство сложноцветни, произхождащи от америка, с дребни зеленикави цветове и бели власинки по цялото стъбло, някои от които са плевели по културните растения.	related
амброзия	noun	род тревисти растения, произхождащи от америка.	в гръцката митология — храна на боговете, която ги правела вечно млади и красиви.	none
амброзия	noun	род тревисти растения, произхождащи от америка.	род едногодишни и многогодишни тревисти растения от семейство сложноцветни, произхождащи от америка, с дребни зеленикави цветове и бели власинки по цялото стъбло, някои от които са плевели по културните растения.	exact
апел	noun	обръщение към обществеността за съдействие, помощ или подкрепа в името на някаква кауза.	молба, призив, възвание.	exact
апел	noun	обръщение към обществеността за съдействие, помощ или подкрепа в името на някаква кауза.	апелация, молба към по-висша инстанция.	broader
багрило	noun	вещество за оцветяване, което прави предметите по-красиви и разнообразни или се използва за защитата им от корозия и др..	Оцветяващо вещество, оцветител, боя.	none
безочлив	adjective	който се държи прекалено нахално и дръзко, който проявява безочие или който изразява безочие.	Безсрамие, нахалство, наглост.	none
безочлив	adjective	неуместно дързък.	Безсрамие, нахалство, наглост.	none
безочлив	adjective	който показва или проявява презрително или пренебрежително отношение към хората.	Безсрамие, нахалство, наглост.	none
безочлив	adjective	неуважително, оскърбително груб, нахален	Безсрамие, нахалство, наглост.	none
блян	noun	творение на въображението, неосъществима, непостижима мечта, блян.	Обикн. в поезията - мислен образ на нещо, създадено от въображението, което е силно желано: мечти, надежда, копнеж.	none
блян	noun	нещо, за което много хора вярват, че не е истина.	Обикн. в поезията - мислен образ на нещо, създадено от въображението, което е силно желано: мечти, надежда, копнеж.	none
блян	noun	напразна надежда, мечта, която не може да се сбъдне.	Обикн. в поезията - мислен образ на нещо, създадено от въображението, което е силно желано: мечти, надежда, копнеж.	none
бърдо	noun	продълговат рид; бърдо, хълм.	планински склон, възвишение.	narrower
бърдо	noun	продълговат рид; бърдо, хълм.	гребен за тъкане.	none
бърдо	noun	масивна дървена рамка с вградена решетка от здрави вертикално поставени дървени пластинки, която служи подобно на гребен в тъкачния стан.	планински склон, възвишение.	none
бърдо	noun	масивна дървена рамка с вградена решетка от здрави вертикално поставени дървени пластинки, която служи подобно на гребен в тъкачния стан.	гребен за тъкане.	exact
владетел	noun	лице, което управлява, властва над държава, област, град, обикновено с наследствено право.	Лице, което управлява и държи властта.	none
гайда	noun	народен музикален инструмент – кози или овчи мях с три цеви за надуване и свирене.	Духов музикален инструмент с мях за събиране на въздуха.	none
девалвация	noun	в банковото дело – понижаване стойността на паричните единици по отношение на златото или на чужда валута.	Законното или официалното намаляване на валутния курс на съответната валутна парична единица спрямо другите валути.	none
джинджифил	noun	корените на растението исиот, използвани като ароматна подправка за ястие.	тропическо многогодишно тревисто растение с характерен аромат и парлив вкус.	related
джинджифил	noun	корените на растението исиот, използвани като ароматна подправка за ястие.	корените на това растение се използват като подправка.	exact
джинджифил	noun	културно растение, произхождащо от азия.	тропическо многогодишно тревисто растение с характерен аромат и парлив вкус.	exact
джинджифил	noun	културно растение, произхождащо от азия.	корените на това растение се използват като подправка.	related
