beadaí	adjective	(Duine) mianúil ar rudaí milse; éisealach.	dúilmhear i rudaí milse	exact
beadaí	adjective	(Duine) mianúil ar rudaí milse; éisealach.	deacair a shásamh le bia	none
beadaí	adjective	(Duine) mianúil ar rudaí milse; éisealach.	ardnósach	none
beadaí	adjective	(Bia) milis, caoin.	dúilmhear i rudaí milse	related
beadaí	adjective	(Bia) milis, caoin.	deacair a shásamh le bia	none
beadaí	adjective	(Bia) milis, caoin.	ardnósach	none
beadaí	adjective	ardnósach.	dúilmhear i rudaí milse	none
beadaí	adjective	ardnósach.	deacair a shásamh le bia	none
beadaí	adjective	ardnósach.	ardnósach	exact
gealach	noun	satailít nádúrtha an domhain.	an corpán spéire (satailít an domhain) a thugann solas dúinn san oíche	exact
gealach	noun	satailít nádúrtha pláinéad ar bith.	an corpán spéire (satailít an domhain) a thugann solas dúinn san oíche	related
liathróid	noun	Ní, sféarúil de ghnáth, a úsáidtear i gcluichí spóirt.	ball cruinn a n-imrítear cluichí leis	exact
tairne	noun	Ní beag tanaí, déanta as miotal de ghnáth, le bior air. Úsáidtear iad chun ábhair a ghreamú le chéile.	píosa caol biorach miotail chun píosaí adhmaid a ghreamú	exact
bioróir	noun	gléas chun faobhar a chuir ar bhior pheann luaidhe.	uirlis le peann luaidhe a bhiorú	exact
bríste	noun	Ball éadaigh a chaitear ar an gcuid íochtarach den chorp.	ball éadaigh ón gcoim síos a bhfuil dhá osán air leis na cosa a chlúdach, treabhsar, triús	exact
cearc	noun	(éaneolaíocht)éan baineann den spéiceas Gallus gallus.	éan baineann de chineál ar bith, go háirithe d'éanlaith chlóis	narrower
cearc	noun	Éan baineann, m.sh. cearc phéacóige.coileach.	éan baineann de chineál ar bith, go háirithe d'éanlaith chlóis	exact
cearc	noun	Cearc cholgach = eiteán.	éan baineann de chineál ar bith, go háirithe d'éanlaith chlóis	none
cearc	noun	(moilisc) Cearc gheal, ruacan.	éan baineann de chineál ar bith, go háirithe d'éanlaith chlóis	none
cearc	noun	Cearc bhradáin, bradán baineann.	éan baineann de chineál ar bith, go háirithe d'éanlaith chlóis	none
cearc	noun	(luibheolaíocht) Cearc bhreac, Dactylorhiza maculata, magairlín den ghéineas Dactylorhiza.	éan baineann de chineál ar bith, go háirithe d'éanlaith chlóis	none
cearc	noun	(leigheas) Cearc ascaille, at faoin ascaill.	éan baineann de chineál ar bith, go háirithe d'éanlaith chlóis	none
neon	noun	Is é an neon dúil uimhir a 10, agus is í an tsiombail cheimiceach atá aige ná Ne.	gás gan dath a lasann suas i bhfeadán le sruth leictreach	exact
copar	noun	Is é an copar dúil uimhir a 29, agus is í an tsiombail cheimiceach atá aige ná Cu.	miotal ruadhonn a ndéantar píopáin, pinginí etc. as	exact
inniu	adjective	Bainteach leis an lá reatha.	an lá seo	exact
frídín	noun	saghas ainmhí fíor-bheag, do-fheicthe a chúisíonn galair in ainmhithe eile.	foirm bheag bhídeach den bheatha phlandúil nó ainmhíoch nach féidir a fheiceáil ach faoi mhicreascóp	exact
féithleann	noun	planda den chlann Caprifoliaceae.	planda agus bláthanna cumhra air a dhreapann	exact
luchóg	noun	mamach beag ceathair-chosach ón rang Mus.	luch	exact
oigheann	noun	gléas a úsáidtear chun bia a chócaráil.	spás iata, mar a bheadh i sorn, chun rósta nó bácála	exact
tionscadal	noun	beartú, cumadh nó scéim.	beart nó scéim oibre	exact
clapsholas	noun	An solas lag nádúrtha a bhíonn ann díreach tar éis dul faoi na gréine ach roimh a thiteann an oíche i gceart.	meath an tsolais idir lá agus oíche	exact
tarbh	noun	bó fireann.	beithíoch fireann gan choilleadh	narrower
sféar	noun	Cruth trí-thoiseach mín.	cruinne nó liathróid chruinn	related
colscaradh	noun	Tugtar colscaradh air nuair a scarann lánúin pósta óna chéile.	deireadh a chur le pósadh de réir dlí	exact
grianghraf	noun	íomhá a chruthaítear le ceamara. Cruthaítear an íomhá nuair a nocthaítear páipéar, ar a bhfuil ceimicí solas-íogair air, don solas nó i gceamaraí nua-aimseartha nuair a notchtaítear braiteoir leictreonach don solas.	pictiúr a thógtar le ceamara	exact
cath	noun	Troid idir fórsaí armach.	troid idir dhá arm	exact
cath	noun	Troid idir fórsaí armach.	coimhlint, triail	none
cath	noun	Troid idir fórsaí armach.	cathlán	related
bliain	noun	Tréimhse ama atá cothrom le ceithre séasúir nó dhá mhí déag nó 365 lá.	an fad ama a bhaineann sé as an domhan dul timpeall na gréine	exact
bliain	noun	Tréimhse ama atá cothrom le ceithre séasúir nó dhá mhí déag nó 365 lá.	365 lá nó 52 seachtain nó 12 mí	none
oíche	noun	An t-am idir dul faoi na gréine agus éirí na gréine an mhaidin dár gcionn.	an tréimhse idir luí agus éirí gréine	exact
oíche	noun	An t-am idir dul faoi na gréine agus éirí na gréine an mhaidin dár gcionn.	féile, bigil	none
cathaoir	noun	Píosa troscáin le suí air. Déanta as dromchla mín ardaithe ón talamh ar chosa (ceithre cinn de ghnáth).	suíochán agus droim air do dhuine amháin	exact
cathaoir	noun	Píosa troscáin le suí air. Déanta as dromchla mín ardaithe ón talamh ar chosa (ceithre cinn de ghnáth).	suíomh nó suíochán oifigiúil údaráis (mar atá ag ollamh nó ag duine a ritheann cruinniú)	broader
eireaball	noun	An chuid íochtarach den chnámh droma, a ghobann amach ar ainmhithe áirithe ar nós madraí agus cait.	an chuid d'ainmhí, d'eitleán etc., a ghobann uaidh siar	exact
eireaball	noun	An chuid íochtarach den chnámh droma, a ghobann amach ar ainmhithe áirithe ar nós madraí agus cait.	an taobh thiar de dhuine nó de rud	related
eireaball	noun	An chuid íochtarach den chnámh droma, a ghobann amach ar ainmhithe áirithe ar nós madraí agus cait.	íochtar	related
silín	noun	Toradh beag milís an chrainn silín. Bíonn dath dearg nó corcra air.	sileadh nó braon beag	none
silín	noun	Toradh beag milís an chrainn silín. Bíonn dath dearg nó corcra air.	siogairlín	none
orlach	noun	Aonad tomhas faid sa chóras impiriúil Breatannach. An 12ú cuid de throigh. 2.54 ceintiméadair.	tomhas faid ionann is an dóú cuid déag de throigh, nó tuairim is 2.5 ceintiméadar	exact
orlach	noun	Aonad tomhas faid sa chóras impiriúil Breatannach. An 12ú cuid de throigh. 2.54 ceintiméadair.	blúire, pioc	none
adhmad	noun	ábhar tógála déanta as crainn.	ábhar siúinéireachta, tine, etc., a fhaightear as crainn	exact
adhmad	noun	ábhar tógála déanta as crainn.	substaint, brí	none
sliogán	noun	Structúr cosainteach a chlúdaíonn ainmhithe mara áirithe.	blaosc uibhe nó cnó	related
sliogán	noun	Structúr cosainteach a chlúdaíonn ainmhithe mara áirithe.	an clúdach crua ar éisc mar bhairnigh, ruacain, oisrí etc.	exact
sliogán	noun	Structúr cosainteach a chlúdaíonn ainmhithe mara áirithe.	diúracán pléascach ordanáis	none
cloch	noun	Substaint crua, nádúrtha, neamhbheo déanta suas de mhianraí.	carraig nó smut de charraig	related
cloch	noun	Substaint crua, nádúrtha, neamhbheo déanta suas de mhianraí.	seoid	related
cloch	noun	Substaint crua, nádúrtha, neamhbheo déanta suas de mhianraí.	aon rud cosúil le cloch	related
cloch	noun	Substaint crua, nádúrtha, neamhbheo déanta suas de mhianraí.	aonad meáchain = 14 pt. nó 6.35 kg.	none
cloch	noun	Substaint crua, nádúrtha, neamhbheo déanta suas de mhianraí.	cladach	none
cloch	noun	Substaint crua, nádúrtha, neamhbheo déanta suas de mhianraí.	carraig san fharraige	related
cloch	noun	Substaint crua, nádúrtha, neamhbheo déanta suas de mhianraí.	magairle	none
leiceann	noun	An chuid den éadain idir an béal agus na cluasa.	taobh amháin den aghaidh, leaca, pluc	exact
leiceann	noun	An chuid den éadain idir an béal agus na cluasa.	slios (cnoic)	none
fáinne	noun	píosa seodra ciorcalach a chaitear ar an méar.	ciorcal nó aon ní i bhfoirm ciorcail, fonsa óir etc., a chaitear ar an méar	exact
fáinne	noun	píosa seodra ciorcalach a chaitear ar an méar.	dual (gruaige)	none
fáinne	noun	píosa seodra ciorcalach a chaitear ar an méar.	bogha gealaí, gréine (comhartha drochaimsire, más fíor)	none
fáinne	noun	píosa seodra ciorcalach a chaitear ar an méar.	breacadh	none
fáinne	noun	píosa seodra ciorcalach a chaitear ar an méar.	suaitheantas i bhfoirm fáinne a chaitheann Gaeilgeoirí	broader
fáinne	noun	Aon rud ciorcalach le poll sa lár.	ciorcal nó aon ní i bhfoirm ciorcail, fonsa óir etc., a chaitear ar an méar	none
fáinne	noun	Aon rud ciorcalach le poll sa lár.	dual (gruaige)	none
fáinne	noun	Aon rud ciorcalach le poll sa lár.	bogha gealaí, gréine (comhartha drochaimsire, más fíor)	none
fáinne	noun	Aon rud ciorcalach le poll sa lár.	breacadh	none
fáinne	noun	Aon rud ciorcalach le poll sa lár.	suaitheantas i bhfoirm fáinne a chaitheann Gaeilgeoirí	none
forc	noun	uirlis le roinnt beangáin air a sáitear isteach i mbia chun é a choiméad socair agus é á ithe.	gabhlóg, uirlis a bhfuil lámh agus beanna uirthi, a úsáidtear chun bia a phiocadh suas	exact
forc	noun	uirlis le roinnt beangáin air a sáitear isteach i mbia chun é a choiméad socair agus é á ithe.	uirlis cosúil léi, ach í níos mó, a úsáidtear i gcúrsaí talmhaíochta, píce	related
cith	noun	Saghas aimsir, tréimhse gairid de bháisteach éadrom.	titim ghearr fearthainne nó sneachta	exact
cith	noun	Saghas aimsir, tréimhse gairid de bháisteach éadrom.	radadh, crústach	none
ordóg	noun	Fochuid den lámh, ar nós méar ach níos giorra agus níos tibhe. Feidhmíonn sé ina mhalairt de threo leis na méara ionas gur féidir greim a bhreith ar rudaí eatarthu.	méar ramhar ghairid na láimhe	exact
ordóg	noun	Fochuid den lámh, ar nós méar ach níos giorra agus níos tibhe. Feidhmíonn sé ina mhalairt de threo leis na méara ionas gur féidir greim a bhreith ar rudaí eatarthu.	lúidín mór na coise	none
ordóg	noun	Fochuid den lámh, ar nós méar ach níos giorra agus níos tibhe. Feidhmíonn sé ina mhalairt de threo leis na méara ionas gur féidir greim a bhreith ar rudaí eatarthu.	crúb gliomaigh nó portáin	none
glúin	noun	alt i lár na géige coise a ligean do na codanna íochtarach agus uachtarach bogadh go neamhspléach óna chéile.	alt láir na coise idir an tsliasaid agus an lorga	exact
glúin	noun	alt i lár na géige coise a ligean do na codanna íochtarach agus uachtarach bogadh go neamhspléach óna chéile.	líne daoine	none
glúin	noun	alt i lár na géige coise a ligean do na codanna íochtarach agus uachtarach bogadh go neamhspléach óna chéile.	céim i sraith	none
glúin	noun	alt i lár na géige coise a ligean do na codanna íochtarach agus uachtarach bogadh go neamhspléach óna chéile.	uillinn adhmaid	none
dearcadh	noun	féachaint, amharc.	féachaint, amharc	exact
dearcadh	noun	féachaint, amharc.	fadbhreathnaitheacht	none
dearcadh	noun	féachaint, amharc.	aigne, an bealach ina mbreathnaíonn duine ar rud	none
dearcadh	noun	fadbhreathnaitheacht.	féachaint, amharc	none
dearcadh	noun	fadbhreathnaitheacht.	fadbhreathnaitheacht	exact
dearcadh	noun	fadbhreathnaitheacht.	aigne, an bealach ina mbreathnaíonn duine ar rud	none
dearcadh	noun	aigne, an bealach ina mbreathnaíonn duine ar rud.	féachaint, amharc	none
dearcadh	noun	aigne, an bealach ina mbreathnaíonn duine ar rud.	fadbhreathnaitheacht	none
dearcadh	noun	aigne, an bealach ina mbreathnaíonn duine ar rud.	aigne, an bealach ina mbreathnaíonn duine ar rud	exact
ard	noun	cnocán	cnocán	exact
ard	noun	os ard de ghuth ard	cnocán	none
abacas	noun	Fráma agus cloichíní ar shlata nó ar shreanga air chun comhairimh	fráma agus cloichíní ar shlata nó ar shreanga air chun comhairimh	exact
cónra	noun	coiméadán, déanta as adhmad de ghnáth, ina gcuirtear corpáin chun iad a adhlacadh.	bosca do chorp duine mhairbh	exact
diúc	noun	uasal ardchéime.	uasal ardchéime	exact
iomaitheoir	noun	duine a théann in iomaíocht i gcomórtas.	duine ghlacann a páirt i gcomórtas nó i gcoimhlint	exact
páirt	noun	cuid, píosa, blúire.	cuid, píosa, blúire	exact
páirt	noun	cuid, píosa, blúire.	taobh, lámh	none
páirt	noun	cuid, píosa, blúire.	comhluadar, caidreamh	none
páirt	noun	cuid, píosa, blúire.	cion, cairdeas	none
páirt	noun	cuid, píosa, blúire.	páirtíocht, comhar	none
páirt	noun	taobh, lámh (ghlac sé páirt ann; páirt duine a thógáil).	cuid, píosa, blúire	none
páirt	noun	taobh, lámh (ghlac sé páirt ann; páirt duine a thógáil).	taobh, lámh	exact
páirt	noun	taobh, lámh (ghlac sé páirt ann; páirt duine a thógáil).	comhluadar, caidreamh	none
páirt	noun	taobh, lámh (ghlac sé páirt ann; páirt duine a thógáil).	cion, cairdeas	none
páirt	noun	taobh, lámh (ghlac sé páirt ann; páirt duine a thógáil).	páirtíocht, comhar	none
páirt	noun	comhluadar, caidreamh (ná bíodh baint ná páirt agat leo).	cuid, píosa, blúire	none
páirt	noun	comhluadar, caidreamh (ná bíodh baint ná páirt agat leo).	taobh, lámh	none
páirt	noun	comhluadar, caidreamh (ná bíodh baint ná páirt agat leo).	comhluadar, caidreamh	exact
páirt	noun	comhluadar, caidreamh (ná bíodh baint ná páirt agat leo).	cion, cairdeas	none
páirt	noun	comhluadar, caidreamh (ná bíodh baint ná páirt agat leo).	páirtíocht, comhar	none
páirt	noun	cion, cairdeas (lucht gaoil agus páirte; a leanbh na páirte).	cuid, píosa, blúire	none
páirt	noun	cion, cairdeas (lucht gaoil agus páirte; a leanbh na páirte).	taobh, lámh	none
páirt	noun	cion, cairdeas (lucht gaoil agus páirte; a leanbh na páirte).	comhluadar, caidreamh	none
páirt	noun	cion, cairdeas (lucht gaoil agus páirte; a leanbh na páirte).	cion, cairdeas	exact
páirt	noun	cion, cairdeas (lucht gaoil agus páirte; a leanbh na páirte).	páirtíocht, comhar	none
páirt	noun	páirtíocht, comhar (rinne sé i bpáirt liom é).	cuid, píosa, blúire	none
páirt	noun	páirtíocht, comhar (rinne sé i bpáirt liom é).	taobh, lámh	none
páirt	noun	páirtíocht, comhar (rinne sé i bpáirt liom é).	comhluadar, caidreamh	none
páirt	noun	páirtíocht, comhar (rinne sé i bpáirt liom é).	cion, cairdeas	none
páirt	noun	páirtíocht, comhar (rinne sé i bpáirt liom é).	páirtíocht, comhar	exact
pian	noun	tinneas.	tinneas	exact
pian	noun	tinneas.	mothúchán gortaithe i gcorp nó in aigne	none
pian	noun	tinneas.	peannaid, pionós	none
pian	noun	mothúchán gortaithe i gcorp nó in aigne.	tinneas	none
pian	noun	mothúchán gortaithe i gcorp nó in aigne.	mothúchán gortaithe i gcorp nó in aigne	exact
pian	noun	mothúchán gortaithe i gcorp nó in aigne.	peannaid, pionós	none
pian	noun	peannaid, pionós.	tinneas	none
pian	noun	peannaid, pionós.	mothúchán gortaithe i gcorp nó in aigne	none
pian	noun	peannaid, pionós.	peannaid, pionós	exact
breitheamh	noun	duine i gceannas i gcúirt dlí a éisteann an cás agus a thugann an bhreith.	duine i gceannas i gcúirt dlí a éisteann an cás agus a thugann an bhreith	exact
tubaiste	noun	tarlúint thar a bheith mí-ádhmharach.	olc, anachain, cinniúint, matalang	related
fiaile	noun	planda a fhásann as a stuaim féin, seachas planda a chuirtear d'aon ghnó.	luibh(eanna) gan iarraidh a fhásann i mbarr nó i mbláthanna	broader
rabhadh	noun	teachtaireacht a chuireann contúirt in iúl.	fógra faire, fainic	exact
mistéir	noun	eachtra gan míniú	rud diamhair nach féidir a mhíniú ná a thuiscint go soiléir	exact
neantóg	noun	planda a chuireann cealga pianmahara i rud ar bith a theagmhaíonn leis.	fás fiáin a ghreadfadh an craiceann agat dá dteagmhófá leis	exact
mias	noun	soitheach ina gcuirtear leachtanna nó solaid, bia mar shampla.	árthach cruinn nach bhfuil domhain agus a gcoinnítear bia nó deoch ann	exact
mias	noun	soitheach ina gcuirtear leachtanna nó solaid, bia mar shampla.	cúrsa boird	none
lasc	noun	gléas chun rud a athrú ó staid amháin go staid eile, mar shampla solas a mhúchadh nó a lasadh.	fuip nó iall fuipe	none
lasc	noun	gléas chun rud a athrú ó staid amháin go staid eile, mar shampla solas a mhúchadh nó a lasadh.	cnaipe a chuireann leictreachas ar siúl	broader
íobairt	noun	rud a thugtar suas in onóir do dhia.	ofráil do Dhia nó do dhéithe ar altóir	exact
íobairt	noun	rud a thugtar suas in onóir do dhia.	an rud a ofráiltear	narrower
speisialta	adjective	neamhghnách, neamhchoitianta. Catagóir:Bríonna de dhíth	neamhghnách, neamhchoitianta	exact
speisialta	adjective	neamhghnách, neamhchoitianta. Catagóir:Bríonna de dhíth	ar leith, áirithe	none
bachlóg	noun	Tugtar bachlóga ar na fásóga nua a tharlaíonn ar phlandaí san Earrach.	bláth nó duilleog nach bhfuil oscailte amach fós	related
bachlóg	noun	Tugtar bachlóga ar na fásóga nua a tharlaíonn ar phlandaí san Earrach.	buntús meatháin	none
ocras	noun	céadfaíocht a mhothaíonn ainmhithe nuair a théann siad gan bia.	fonn nó mian chun bia	narrower
ocras	noun	céadfaíocht a mhothaíonn ainmhithe nuair a théann siad gan bia.	dealús, ganntanas	none
ocras	noun	céadfaíocht a mhothaíonn ainmhithe nuair a théann siad gan bia.	sprionlaitheacht	none
iníon	noun	Páiste baineann.	duine baineann clainne	exact
iníon	noun	Páiste baineann.	cailín, bean óg (le ceannlitir mhór) foirm aithisc nó teideal cúirtéise roimh ainm mná nach bhfuil pósta	none
sean-	adjective	aosta	aosta	exact
sean-	adjective	aosta	seanbhunaithe seanfhaiseanta	none
sean-	adjective	aosta	an-, ró-	none
sean-	adjective	aosta	iar-, ath-	none
sean-	adjective	:sean-leabhar	aosta	none
sean-	adjective	:sean-leabhar	seanbhunaithe seanfhaiseanta	none
sean-	adjective	:sean-leabhar	an-, ró-	none
sean-	adjective	:sean-leabhar	iar-, ath-	none
sean-	adjective	:an sean-teach	aosta	none
sean-	adjective	:an sean-teach	seanbhunaithe seanfhaiseanta	none
sean-	adjective	:an sean-teach	an-, ró-	none
sean-	adjective	:an sean-teach	iar-, ath-	none
sean-	adjective	:mo shean-chara	aosta	none
sean-	adjective	:mo shean-chara	seanbhunaithe seanfhaiseanta	none
sean-	adjective	:mo shean-chara	an-, ró-	none
sean-	adjective	:mo shean-chara	iar-, ath-	none
sean-	adjective	:na seana-rudaí	aosta	none
sean-	adjective	:na seana-rudaí	seanbhunaithe seanfhaiseanta	none
sean-	adjective	:na seana-rudaí	an-, ró-	none
sean-	adjective	:na seana-rudaí	iar-, ath-	none
sean-	adjective	briste nó gan fiúntas de bharr aoise	aosta	none
sean-	adjective	briste nó gan fiúntas de bharr aoise	seanbhunaithe seanfhaiseanta	none
sean-	adjective	briste nó gan fiúntas de bharr aoise	an-, ró-	none
sean-	adjective	briste nó gan fiúntas de bharr aoise	iar-, ath-	none
sean-	adjective	cf. cladach, farraige	aosta	none
sean-	adjective	cf. cladach, farraige	seanbhunaithe seanfhaiseanta	none
sean-	adjective	cf. cladach, farraige	an-, ró-	none
sean-	adjective	cf. cladach, farraige	iar-, ath-	none
