achoimre	noun	leagan gearr.	cuntas giorraithe agus gan tugtha ach na príomhphointí	broader
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	aonad tomhais	none
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	seasamh nó stádas saoil	none
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	gradam ollscoile	none
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	cruatan	none
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	coiscéim	none
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	ardú	none
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	ísliú	none
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	ardú amháin i staighre nó i ndréimire	none
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	aonad tomhais	none
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	seasamh nó stádas saoil	none
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	gradam ollscoile	exact
céim	noun	duais a bhronann ollscoil ar mhic léinn mar chomhartha éacht acadúla.	cruatan	none
céim	noun	rang, grád, aicme.	coiscéim	none
céim	noun	rang, grád, aicme.	ardú	none
céim	noun	rang, grád, aicme.	ísliú	none
céim	noun	rang, grád, aicme.	ardú amháin i staighre nó i ndréimire	none
céim	noun	rang, grád, aicme.	aonad tomhais	none
céim	noun	rang, grád, aicme.	seasamh nó stádas saoil	none
céim	noun	rang, grád, aicme.	gradam ollscoile	broader
céim	noun	rang, grád, aicme.	cruatan	none
céim	noun	(tíreolaíocht) bearnas, ailt.	coiscéim	none
céim	noun	(tíreolaíocht) bearnas, ailt.	ardú	none
céim	noun	(tíreolaíocht) bearnas, ailt.	ísliú	none
céim	noun	(tíreolaíocht) bearnas, ailt.	ardú amháin i staighre nó i ndréimire	none
céim	noun	(tíreolaíocht) bearnas, ailt.	aonad tomhais	none
céim	noun	(tíreolaíocht) bearnas, ailt.	seasamh nó stádas saoil	none
céim	noun	(tíreolaíocht) bearnas, ailt.	gradam ollscoile	none
céim	noun	(tíreolaíocht) bearnas, ailt.	cruatan	none
céim	noun	(uirlisí) Rabbet.	coiscéim	none
céim	noun	(uirlisí) Rabbet.	ardú	none
céim	noun	(uirlisí) Rabbet.	ísliú	none
céim	noun	(uirlisí) Rabbet.	ardú amháin i staighre nó i ndréimire	none
céim	noun	(uirlisí) Rabbet.	aonad tomhais	none
céim	noun	(uirlisí) Rabbet.	seasamh nó stádas saoil	none
céim	noun	(uirlisí) Rabbet.	gradam ollscoile	none
céim	noun	(uirlisí) Rabbet.	cruatan	none
céim	noun	deacracht, cruachás.	coiscéim	none
céim	noun	deacracht, cruachás.	ardú	none
céim	noun	deacracht, cruachás.	ísliú	none
céim	noun	deacracht, cruachás.	ardú amháin i staighre nó i ndréimire	none
céim	noun	deacracht, cruachás.	aonad tomhais	none
céim	noun	deacracht, cruachás.	seasamh nó stádas saoil	none
céim	noun	deacracht, cruachás.	gradam ollscoile	none
céim	noun	deacracht, cruachás.	cruatan	related
oideachas	noun	An próiséas chun eolas, scil agus breithiúnachas a dháileadh.	léann, foghlaim, go mór mór ar scoil nó i gcoláiste	narrower
oideachas	noun	Eolas, scileanna agus smaointí  atá taréis a bheith foghlaimtha, go foirmiúil nó go neamh-fhoirmiúil.	léann, foghlaim, go mór mór ar scoil nó i gcoláiste	exact
líofa	adjective	Faobhraithe, géaraithe, snasta trí chuimilt.(stíl, caint) Éasca, saoráideach, pras, snoite, snasta.	géaraithe, faobhraithe	broader
líofa	adjective	Faobhraithe, géaraithe, snasta trí chuimilt.(stíl, caint) Éasca, saoráideach, pras, snoite, snasta.	snoite, snasta	none
líofa	adjective	líomhadh	géaraithe, faobhraithe	none
líofa	adjective	líomhadh	snoite, snasta	none
mí	noun	Tréimhse ama ina roinnter suas bliain, bunaithe go stairiúil ar céimeanna na gealaí. Dar leis an féilire Gregorian, tá dhá mhí déag: Eanáir, Feabhra, Márta, Aibreán, Bealtaine, Meitheamh, Iúil, Lúnasa, Meán Fómhair, Deireadh Fómhair, Samhain agus Nollag.	ceithre seachtaine	none
mí	noun	Tréimhse ama ina roinnter suas bliain, bunaithe go stairiúil ar céimeanna na gealaí. Dar leis an féilire Gregorian, tá dhá mhí déag: Eanáir, Feabhra, Márta, Aibreán, Bealtaine, Meitheamh, Iúil, Lúnasa, Meán Fómhair, Deireadh Fómhair, Samhain agus Nollag.	ceann de dhá roinn déag na bliana, Eanáir, Feabhra etc.	exact
mí	noun	Tréimhse 30 lá, 31 lá nó méid eile.	ceithre seachtaine	exact
mí	noun	Tréimhse 30 lá, 31 lá nó méid eile.	ceann de dhá roinn déag na bliana, Eanáir, Feabhra etc.	none
caora	noun	Ainmhí leathmhór féaránach athchogantach cuideachtúil a mbíonn adharca air go minic.  Gné Ovis aries.  Tá a lán saghas de tugtha chun tíreachais ar fud an domhain mar gheall ar a lomra, a mbainne agus a bhfeoil.	ainmhí athchogantach de chineál an ghabhair a thugann olann agus feoil dúinn	exact
caora	noun	Ainmhíthe den ghéineas Ovis, agus géinis gaolta leis, a bhfuil dlúthbhaint acu leis na gabhair.	ainmhí athchogantach de chineál an ghabhair a thugann olann agus feoil dúinn	exact
beach	noun	feithid eitilte den ord Hymenoptera (ceithre eite agus cealg aici), fine Apoidea, a dhéananns mil agus céir as neachtar agus pailín a bhailíonn sí ó bhláthanna.	feithid chealgach cheathaireiteach a dhéanann mil agus céir as ábhar a bhailíonn sí ó bhláthanna	exact
teach	noun	Foirgneamh cónaithe.	foirgneamh cónaithe	exact
teach	noun	Foirgneamh cónaithe.	foirgneamh poiblí	none
teach	noun	Foirgneamh cónaithe.	struchtúr cosúil le teach	none
teach	noun	Foirgneamh poiblí.	foirgneamh cónaithe	none
teach	noun	Foirgneamh poiblí.	foirgneamh poiblí	exact
teach	noun	Foirgneamh poiblí.	struchtúr cosúil le teach	none
teach	noun	Struchtúr cosúil le teach.	foirgneamh cónaithe	none
teach	noun	Struchtúr cosúil le teach.	foirgneamh poiblí	none
teach	noun	Struchtúr cosúil le teach.	struchtúr cosúil le teach	exact
cat	noun	Speiceas beag aclaí de mhamach feoiliteach ceathairchosach, ó nádúr sealgaire tréitheach an chlapsholais, a bhfuil clúmh mín agus ingne inghiorraithe aige. Tugtar Felis silvestris ar an gcineál fiáin agus Felis catus ar an gcineál atá ceansaithe ag an gcine daonna le fada an lá.	ainmhí tí a choinnítear mar pheata agus a mharaíonn lucha agus francaigh	broader
cat	noun	Ainmhithe gaolmhara den fhine Felidae nó ainmhithe eile atá cosúil le cait.	ainmhí tí a choinnítear mar pheata agus a mharaíonn lucha agus francaigh	broader
cat	noun	(leigheas) Cait bhrád = gaid bhrád.	ainmhí tí a choinnítear mar pheata agus a mharaíonn lucha agus francaigh	none
an	particle	mír ceiste, de ghnáth le treise.	mír chinnteachta roimh ainmfhocal san uatha	none
beoir	noun	deoch mheisciúil a dhéantar (coipeadh) le huisce, braich, lus an leanna, agus fungas ar a dtugtar giosta.	deoch mheisciúil a dhéantar as braich	exact
sráid	noun	Bóthar poiblí i gcathair, baile nó sráidbhaile a mbíonn cosáin agus foirgnimh ar a dhá thaobh go hiondúil.	bóthar (níos leithne ná lána) agus tithe ar thaobh amháin nó ar an dá thaobh de	narrower
sráid	noun	Bóthar poiblí i gcathair, baile nó sráidbhaile a mbíonn cosáin agus foirgnimh ar a dhá thaobh go hiondúil.	lantán taobh amuigh de theach	none
sráid	noun	Talamh comhthromaithe nó lantán timpeall tí.	bóthar (níos leithne ná lána) agus tithe ar thaobh amháin nó ar an dá thaobh de	none
sráid	noun	Talamh comhthromaithe nó lantán timpeall tí.	lantán taobh amuigh de theach	broader
sráid	noun	Sráidbhaile.	bóthar (níos leithne ná lána) agus tithe ar thaobh amháin nó ar an dá thaobh de	none
sráid	noun	Sráidbhaile.	lantán taobh amuigh de theach	none
grian	noun	Is í an Ghrian an réad is mó sa ghrianchóras.	an corpán spéire a thugann teas agus solas sa lá dúinn	broader
teilifís	noun	Is é an rud atá i gceist leis an teilifís ná córas teileachumarsáide le pictiúir ghluaiste a chraoladh, ionas gur féidir iad a ghlacadh i bhfad ar shiúl ó áit a gcraolta leis an ngléas ar a dtugtar teilifíseán	teilgean pictiúr ó áit i bhfad i gcéin agus á dtabhairt amach ar scáileán le tonnta raidió	exact
giotár	noun	Is saghas uirlis ceoil é	gléas ceoil sé shreang a phioctar leis na méara	exact
agus	conjunction	Chomh maith le, mar aon le (mise agus tusa, a dó agus a trí, shuigh sé agus lig a scíth, ná mol agus ná cáin).	chomh maith le, mar aon le	exact
spideog	noun	(éaneolaíocht) Éin bheaga pasaireacha den ghéineas Erithacus a aimsítear go forleathan san Eoraip agus i dtuaisceart na hAfraice.	éan beag ceoil agus brollach dearg air	exact
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	cois, in aice	exact
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	buailte ar	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	i dtreo	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	ar feadh	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	in éineacht	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	i bhfabhar	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	in aghaidh, chuig	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	ar feadh tréimhse áirithe	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	i gcomparáid	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	de chuid	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	ag, i seilbh	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	ar aghaidh	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	le cabhair	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	ag leanúint	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	de thoradh	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	chun	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	i dtuairim	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	chun, le haghaidh  le + a = lena	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	le + ar = lenar	none
le	preposition	In aice, i dtaobh ruda, i ngar, i dtadhaill.Bhí a dhroim le balla aige.	le + ár = lenár	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	cois, in aice	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	buailte ar	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	i dtreo	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	ar feadh	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	in éineacht	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	i bhfabhar	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	in aghaidh, chuig	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	ar feadh tréimhse áirithe	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	i gcomparáid	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	de chuid	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	ag, i seilbh	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	ar aghaidh	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	le cabhair	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	ag leanúint	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	de thoradh	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	chun	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	i dtuairim	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	chun, le haghaidh  le + a = lena	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	le + ar = lenar	none
le	preposition	Curtha ar.Bhí sé de nós aici a méar a chur lena liopaí.	le + ár = lenár	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	cois, in aice	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	buailte ar	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	i dtreo	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	ar feadh	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	in éineacht	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	i bhfabhar	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	in aghaidh, chuig	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	ar feadh tréimhse áirithe	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	i gcomparáid	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	de chuid	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	ag, i seilbh	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	ar aghaidh	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	le cabhair	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	ag leanúint	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	de thoradh	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	chun	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	i dtuairim	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	chun, le haghaidh  le + a = lena	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	le + ar = lenar	none
le	preposition	Ceangailte ar.Tá rud éigin crochta le do ghruaig.	le + ár = lenár	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	cois, in aice	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	buailte ar	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	i dtreo	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	ar feadh	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	in éineacht	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	i bhfabhar	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	in aghaidh, chuig	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	ar feadh tréimhse áirithe	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	i gcomparáid	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	de chuid	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	ag, i seilbh	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	ar aghaidh	exact
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	le cabhair	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	ag leanúint	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	de thoradh	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	chun	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	i dtuairim	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	chun, le haghaidh  le + a = lena	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	le + ar = lenar	none
le	preposition	Os comhair, ar aghaidh, ar oscailt roimh.	le + ár = lenár	none
le	preposition	Thar aghaidh.	cois, in aice	none
le	preposition	Thar aghaidh.	buailte ar	none
le	preposition	Thar aghaidh.	i dtreo	none
le	preposition	Thar aghaidh.	ar feadh	none
le	preposition	Thar aghaidh.	in éineacht	none
le	preposition	Thar aghaidh.	i bhfabhar	none
le	preposition	Thar aghaidh.	in aghaidh, chuig	none
le	preposition	Thar aghaidh.	ar feadh tréimhse áirithe	none
le	preposition	Thar aghaidh.	i gcomparáid	none
le	preposition	Thar aghaidh.	de chuid	none
le	preposition	Thar aghaidh.	ag, i seilbh	none
le	preposition	Thar aghaidh.	ar aghaidh	related
le	preposition	Thar aghaidh.	le cabhair	none
le	preposition	Thar aghaidh.	ag leanúint	none
le	preposition	Thar aghaidh.	de thoradh	none
le	preposition	Thar aghaidh.	chun	none
le	preposition	Thar aghaidh.	i dtuairim	none
le	preposition	Thar aghaidh.	chun, le haghaidh  le + a = lena	none
le	preposition	Thar aghaidh.	le + ar = lenar	none
le	preposition	Thar aghaidh.	le + ár = lenár	none
le	preposition	Ar feadh.	cois, in aice	none
le	preposition	Ar feadh.	buailte ar	none
le	preposition	Ar feadh.	i dtreo	none
le	preposition	Ar feadh.	ar feadh	none
le	preposition	Ar feadh.	in éineacht	none
le	preposition	Ar feadh.	i bhfabhar	none
le	preposition	Ar feadh.	in aghaidh, chuig	none
le	preposition	Ar feadh.	ar feadh tréimhse áirithe	exact
le	preposition	Ar feadh.	i gcomparáid	none
le	preposition	Ar feadh.	de chuid	none
le	preposition	Ar feadh.	ag, i seilbh	none
le	preposition	Ar feadh.	ar aghaidh	none
le	preposition	Ar feadh.	le cabhair	none
le	preposition	Ar feadh.	ag leanúint	none
le	preposition	Ar feadh.	de thoradh	none
le	preposition	Ar feadh.	chun	none
le	preposition	Ar feadh.	i dtuairim	none
le	preposition	Ar feadh.	chun, le haghaidh  le + a = lena	none
le	preposition	Ar feadh.	le + ar = lenar	none
le	preposition	Ar feadh.	le + ár = lenár	none
le	preposition	Sa treo céanna.	cois, in aice	none
le	preposition	Sa treo céanna.	buailte ar	none
le	preposition	Sa treo céanna.	i dtreo	none
le	preposition	Sa treo céanna.	ar feadh	none
le	preposition	Sa treo céanna.	in éineacht	none
le	preposition	Sa treo céanna.	i bhfabhar	none
le	preposition	Sa treo céanna.	in aghaidh, chuig	none
le	preposition	Sa treo céanna.	ar feadh tréimhse áirithe	none
le	preposition	Sa treo céanna.	i gcomparáid	none
le	preposition	Sa treo céanna.	de chuid	none
le	preposition	Sa treo céanna.	ag, i seilbh	none
le	preposition	Sa treo céanna.	ar aghaidh	none
le	preposition	Sa treo céanna.	le cabhair	none
le	preposition	Sa treo céanna.	ag leanúint	none
le	preposition	Sa treo céanna.	de thoradh	none
le	preposition	Sa treo céanna.	chun	none
le	preposition	Sa treo céanna.	i dtuairim	none
le	preposition	Sa treo céanna.	chun, le haghaidh  le + a = lena	none
le	preposition	Sa treo céanna.	le + ar = lenar	none
le	preposition	Sa treo céanna.	le + ár = lenár	none
le	preposition	Den ghluaiseacht chéanna.	cois, in aice	none
le	preposition	Den ghluaiseacht chéanna.	buailte ar	none
le	preposition	Den ghluaiseacht chéanna.	i dtreo	none
le	preposition	Den ghluaiseacht chéanna.	ar feadh	none
le	preposition	Den ghluaiseacht chéanna.	in éineacht	related
le	preposition	Den ghluaiseacht chéanna.	i bhfabhar	none
le	preposition	Den ghluaiseacht chéanna.	in aghaidh, chuig	none
le	preposition	Den ghluaiseacht chéanna.	ar feadh tréimhse áirithe	none
le	preposition	Den ghluaiseacht chéanna.	i gcomparáid	none
le	preposition	Den ghluaiseacht chéanna.	de chuid	none
le	preposition	Den ghluaiseacht chéanna.	ag, i seilbh	none
le	preposition	Den ghluaiseacht chéanna.	ar aghaidh	none
le	preposition	Den ghluaiseacht chéanna.	le cabhair	none
le	preposition	Den ghluaiseacht chéanna.	ag leanúint	none
le	preposition	Den ghluaiseacht chéanna.	de thoradh	none
le	preposition	Den ghluaiseacht chéanna.	chun	none
le	preposition	Den ghluaiseacht chéanna.	i dtuairim	none
le	preposition	Den ghluaiseacht chéanna.	chun, le haghaidh  le + a = lena	none
le	preposition	Den ghluaiseacht chéanna.	le + ar = lenar	none
le	preposition	Den ghluaiseacht chéanna.	le + ár = lenár	none
le	preposition	I gcomhluadar.	cois, in aice	none
le	preposition	I gcomhluadar.	buailte ar	none
le	preposition	I gcomhluadar.	i dtreo	none
le	preposition	I gcomhluadar.	ar feadh	none
le	preposition	I gcomhluadar.	in éineacht	related
le	preposition	I gcomhluadar.	i bhfabhar	none
